Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
92.040	103.265
92.100	103.991
92.160	102.552
92.220	102.641
92.280	101.559
92.340	100.743
92.400	100.973
92.460	100.374
92.520	100.718
92.580	99.750
92.640	100.718
92.700	100.132
92.760	100.463
92.820	101.546
92.880	100.578
92.940	101.520
93.000	101.724
93.060	101.317
93.120	100.973
93.180	100.514
93.240	99.967
93.300	99.826
93.360	100.616
93.420	100.310
93.480	100.450
93.540	100.081
93.600	101.202
93.660	102.157
93.720	101.864
93.780	102.628
93.840	102.386
93.900	102.590
93.960	102.832
94.020	102.781
94.080	102.017
94.140	102.972
94.200	101.902
94.260	100.922
94.320	100.743
94.380	100.387
94.440	100.119
94.500	99.814
94.560	100.412
94.620	100.081
94.680	102.004
94.740	100.985
94.800	102.501
94.860	103.316
94.920	102.628
94.980	102.628
95.040	103.469
95.100	103.189
95.160	102.603
95.220	102.616
95.280	101.699
95.340	101.457
95.400	102.030
95.460	102.043
95.520	109.939
95.580	126.598
95.640	211.589
95.700	344.290
95.760	447.481
95.820	562.745
95.880	678.189
95.940	746.596
96.000	793.594
96.060	838.973
96.120	859.645
96.180	847.189
96.240	758.097
96.300	522.014
96.360	343.156
96.420	250.715
96.480	161.369
96.540	119.555
96.600	124.319
96.660	207.908
96.720	298.630
96.780	418.976
96.840	548.608
96.900	623.435
96.960	695.154
97.020	757.562
97.080	771.292
97.140	812.405
97.200	799.745
97.260	689.549
97.320	485.448
97.380	319.224
97.440	228.235
97.500	145.028
97.560	106.093
97.620	102.476
97.680	103.800
97.740	109.748
97.800	118.625
97.860	123.453
97.920	131.464
97.980	136.877
98.040	139.730
98.100	141.424
98.160	143.347
98.220	143.321
98.280	134.584
98.340	124.612
98.400	114.129
98.460	107.315
98.520	104.424
98.580	100.629
98.640	100.336
98.700	100.794
98.760	100.871
98.820	101.902
98.880	102.896
98.940	103.724
99.000	103.189
99.060	104.488
99.120	105.392
99.180	105.150
99.240	105.227
99.300	105.991
99.360	103.609
99.420	101.762
99.480	101.444
99.540	100.514
99.600	100.170
99.660	99.877
99.720	100.463
99.780	100.107
99.840	99.432
99.900	100.833
99.960	100.616
100.020	100.782
100.080	100.884
100.140	100.374
100.200	101.049
100.260	102.119
100.320	100.858
100.380	101.304
100.440	102.450
100.500	100.743
100.560	100.081
100.620	99.954
100.680	100.081
100.740	99.266
100.800	100.094
100.860	99.597
100.920	100.858
100.980	100.871
101.040	100.820
101.100	101.520
101.160	101.291
101.220	101.482
101.280	101.546
101.340	101.075
101.400	100.692
101.460	100.170
101.520	99.890
101.580	99.330
101.640	99.495
101.700	99.839
101.760	99.279
101.820	99.737
101.880	99.686
101.940	100.247
102.000	100.412
102.060	101.062
102.120	101.431
