Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

6.900	109.774
6.960	108.780
7.020	108.169
7.080	106.284
7.140	104.526
7.200	103.826
7.260	104.768
7.320	105.876
7.380	109.022
7.440	110.321
7.500	110.920
7.560	110.933
7.620	111.913
7.680	112.181
7.740	110.958
7.800	111.353
7.860	110.831
7.920	112.155
7.980	110.665
8.040	112.308
8.100	107.481
8.160	106.347
8.220	106.921
8.280	105.685
8.340	106.131
8.400	106.004
8.460	105.723
8.520	105.532
8.580	104.934
8.640	104.386
8.700	102.819
8.760	103.915
8.820	103.303
8.880	104.322
8.940	104.704
9.000	104.348
9.060	103.469
9.120	104.781
9.180	104.042
9.240	103.877
9.300	104.475
9.360	104.195
9.420	104.934
9.480	104.615
9.540	103.991
9.600	104.577
9.660	104.055
9.720	104.577
9.780	104.029
9.840	103.265
9.900	104.119
9.960	104.004
10.020	104.335
10.080	105.558
10.140	104.157
10.200	104.832
10.260	104.195
10.320	104.462
10.380	104.539
10.440	104.552
10.500	104.246
10.560	104.412
10.620	104.513
10.680	105.494
10.740	105.061
10.800	104.615
10.860	103.902
10.920	104.972
10.980	105.469
11.040	106.602
11.100	107.761
11.160	110.640
11.220	123.542
11.280	136.456
11.340	267.298
11.400	477.691
11.460	514.054
11.520	589.377
11.580	607.743
11.640	620.620
11.700	605.782
11.760	603.782
11.820	544.800
11.880	525.135
11.940	499.815
12.000	455.963
12.060	243.825
12.120	122.459
12.180	107.354
12.240	106.398
12.300	113.824
12.360	168.208
12.420	202.113
12.480	231.840
12.540	242.691
12.600	251.976
12.660	255.147
12.720	253.861
12.780	244.563
12.840	221.536
12.900	222.453
12.960	217.155
13.020	206.278
13.080	174.360
13.140	116.677
13.200	116.091
13.260	125.732
13.320	171.405
13.380	300.871
13.440	562.147
13.500	634.553
13.560	666.637
13.620	692.861
13.680	709.431
13.740	664.968
13.800	654.690
13.860	622.645
13.920	570.769
13.980	527.223
14.040	492.440
14.100	354.326
14.160	167.330
14.220	114.410
14.280	124.688
14.340	148.072
14.400	325.746
14.460	614.277
14.520	663.771
14.580	693.727
14.640	748.965
14.700	733.949
14.760	680.366
14.820	686.888
14.880	634.375
14.940	604.916
15.000	597.083
15.060	518.321
15.120	329.337
15.180	144.939
15.240	141.908
15.300	168.654
15.360	434.400
15.420	1498.263
15.480	1858.055
15.540	2108.950
15.600	2197.711
15.660	2294.902
15.720	2183.153
15.780	2135.531
15.840	2078.930
15.900	1802.002
15.960	1851.980
16.020	1605.835
16.080	1323.366
16.140	1018.061
16.200	149.957
16.260	157.382
16.320	278.315
16.380	1500.950
16.440	2688.930
16.500	3502.445
16.560	3621.034
16.620	3844.126
16.680	3773.273
16.740	3725.053
16.800	3572.890
16.860	3252.976
16.920	3136.132
16.980	3064.923
17.040	2521.458
17.100	2240.174
17.160	477.717
17.220	240.118
17.280	358.606
17.340	1368.389
17.400	3605.916
17.460	6511.852
17.520	7194.627
17.580	7671.620
17.640	8045.830
17.700	7683.694
17.760	7127.277
17.820	7132.817
17.880	6724.843
17.940	6231.153
18.000	5479.078
18.060	5067.946
18.120	3861.817
18.180	144.799
18.240	120.587
18.300	111.468
18.360	114.410
18.420	137.463
18.480	159.853
18.540	156.453
18.600	163.228
18.660	166.298
18.720	164.311
18.780	161.140
18.840	158.516
18.900	154.033
18.960	157.446
19.020	154.389
19.080	145.920
19.140	131.184
19.200	113.416
19.260	108.997
19.320	115.238
19.380	166.922
19.440	281.334
19.500	316.231
19.560	315.531
19.620	331.439
19.680	341.959
19.740	318.358
19.800	308.997
19.860	320.791
19.920	290.325
19.980	290.109
20.040	276.965
20.100	249.301
20.160	221.982
20.220	107.188
20.280	104.552
20.340	105.010
20.400	104.692
20.460	105.469
20.520	106.029
20.580	105.507
20.640	106.577
20.700	105.571
20.760	104.615
20.820	105.456
20.880	105.214
20.940	105.239
21.000	106.449
21.060	104.768
21.120	105.889
21.180	103.889
21.240	104.590
21.300	105.150
21.360	104.934
21.420	104.297
21.480	107.812
21.540	108.666
21.600	107.379
21.660	108.232
21.720	107.264
21.780	109.149
21.840	108.322
21.900	107.214
21.960	107.621
22.020	109.162
22.080	108.080
22.140	107.468
22.200	106.233
22.260	104.335
22.320	103.736
22.380	104.577
22.440	104.297
22.500	105.125
22.560	104.170
22.620	105.545
22.680	104.170
22.740	103.265
22.800	104.131
22.860	102.730
22.920	102.272
22.980	102.832
